state,x,y
J&K,-110,200
Haryana,-122,222
Punjab,-159,193
Delhi,-137,143
Uttarakhand,-66,173
Uttar Pradesh,-77,105
Rajasthan,-206,87
Gujarat,-260,-7
Maharashtra,-183,-102
Madhya Pradesh,-119,-5
Karnataka,-156,-211
Kerala,-140,-302
Tamil Nadu,-93,-295
Andhra Pradesh,-94,-204
Telangana,-90,-134
Odisha,39,-72
Chhattisgarh,-26,-50
West Bengal,125,-13
Jharkhand,54,4
Bihar,69,61
Goa,-202,-199
Sikkim,137,109
Arunachal Pradesh,254,116
Assam,227,77
Meghalaya,193,54
Nagaland,280,68
Mizoram,239,0
Manipur,262,34
Tripura,209,10
